course_index,name,link
0,中国建筑史（上）,https://www.xuetangx.com/course/THU08281000443/7754587
1,外国工艺美术史,https://www.xuetangx.com/course/THU13011000396/7753096
2,心理学概论,https://www.xuetangx.com/course/THU07111000416/775562
3,经济学原理,https://www.xuetangx.com/course/thu02011002194/7755199
4,公司金融,https://www.xuetangx.com/course/SWUFE02031000538/7754843
5,创业102：你能为客户做什么？,https://www.xuetangx.com/course/THU08091000813/7769636
6,e时代的教与学——MOOC引发的混合式教学,https://www.xuetangx.com/course/RCOE04011000178/7753191
7,党的十九大精神概论,https://www.xuetangx.com/course/THU03051000745/7753065
8,e时代的大佬师——慕课教师的修炼心法,https://www.xuetangx.com/course/RCOE04011000249/7753186
9,大学物理近代物理,https://www.xuetangx.com/course/BIT07021000028/7754055
10,计算机科学和Python编程导论,https://www.xuetangx.com/course/SZIIT61021001122/7755544
11,自动控制理论,https://www.xuetangx.com/course/THU08081000447/7755625
12,大学国文（下）,https://www.xuetangx.com/course/SEU12021000056/5882641
13,计算几何,https://www.xuetangx.com/course/THU08091000327/7770041
14,C++语言程序设计基础,https://www.xuetangx.com/course/THU08091000247/7771136
15,生活英语听说,https://www.xuetangx.com/course/THU05021000376/7754480
16,日语与日本文化,https://www.xuetangx.com/course/THU05021000363/7754436
17,数据结构（上）,https://www.xuetangx.com/course/THU08091000384/7755489
18,操作系统,https://www.xuetangx.com/course/THU08091000267/7753473
19,数据结构(下),https://www.xuetangx.com/course/THU08091002048/7755080
20,逻辑学概论,https://www.xuetangx.com/course/THU12011001060/7753025
21,线性代数,https://www.xuetangx.com/course/THU07011000411/7735112
22,程序设计基础,https://www.xuetangx.com/course/THU08091000270/7754638
23,汇编语言程序设计,https://www.xuetangx.com/course/THU08091000320/7769823
24,分布式存储与资源管理,
25,大数据系统基础,https://www.xuetangx.com/course/THU08091000280/7754251
26,网络技术与应用,https://www.xuetangx.com/course/UST08091000594/7769889
27,计算机科学101,
28,微纳加工技术,https://www.xuetangx.com/course/THU08071000404/7753904
29,数字电子技术基础,https://www.xuetangx.com/course/THU08081000386/7754495
30,C++语言程序设计进阶,https://www.xuetangx.com/course/THU08091000248/7771140
31,葡萄酒的世界：从葡萄到美酒,
32,量子力学（上）,https://www.xuetangx.com/course/THU07021000339/7753294
33,金融体系概览（微慕课）,
34,线性系统理论,https://www.xuetangx.com/course/THU08081000414/7753330
35,小波与科学(自主模式）,https://www.xuetangx.com/course/HIT07011000107-01/4001426
36,电子信息科学与技术导引(1),https://www.xuetangx.com/course/THU08071000295/7754954
37,统计信号处理,https://www.xuetangx.com/course/NUDT08071000084/7755603
38,MEMS与微系统,https://www.xuetangx.com/course/THU08071000253/7754035
39,奇异的仿生学,https://www.xuetangx.com/course/JLU08301000148/7769834
40,创新材料学,https://www.xuetangx.com/course/THU08041000274/7769831
41,数据结构-算法基础（微慕课）,https://www.xuetangx.com/course/XUST08091001540/7754535
42,计算思维和数据科学导论,
43,理论力学,https://www.xuetangx.com/course/THU07021000337/7754397
44,经济学,https://www.xuetangx.com/course/thu02011002194/7755199
45,2014年清华大学研究生学位论文答辩（二）,https://www.xuetangx.com/course/THU00001002199/1403011
46,软件工程,https://www.xuetangx.com/course/THU08091000367/7754180
47,C++语言程序设计,
48,有限元分析及应用,https://www.xuetangx.com/course/THU08021000430/7754583
49,大数据科学与应用系列讲座,
50,《周易》《周礼》与故宫北京城（微慕课）,
51,流计算、内存计算与分布式机器学习平台（微慕课）,
52,高级大数据系统,https://www.xuetangx.com/course/THU08091000301/7753916
53,数据挖掘：理论与算法,
54,Petri网：模型、理论与应用,https://www.xuetangx.com/course/THU08091000662/7754060
55,Web开发技术,https://www.xuetangx.com/course/CQU08091000603/7753229
56,心理正能量ACE（微慕课）,
57,中国房地产发展之路,https://www.xuetangx.com/course/THU12021000437/7753147
58,社会心理学,https://www.xuetangx.com/course/THU07111000416/7755628
59,胡鞍钢：党的十八大精神的学习辅导报告,
60,全面从严治党与党的建设科学化,
61,讲规矩 成方圆,
62,创客培养：趣味力学实验与制作,https://www.xuetangx.com/course/THU08011000273/7754241
63,智能车制作：电子技术,https://www.xuetangx.com/course/THU08091000434/1076017
64,材料学概论,https://www.xuetangx.com/course/THU08041000262/7753937
65,模拟电子技术应用,https://www.xuetangx.com/course/THU08071000350/7753059
66,电路原理,https://www.xuetangx.com/course/THU08061000294/7754300
67,高级数据库系统,https://www.xuetangx.com/course/BJUT08091000021/7754089
68,日常思考的科学,
69,西游记,
70,运筹学,https://www.xuetangx.com/course/UST12011000595/7753838
71,微软人工智能 _ 深度学习框架和工具,https://www.xuetangx.com/live/live20200705IT001/live20200705IT001/4195276/6010145
72,概率论与数理统计,https://www.xuetangx.com/course/THU07011000299/7735121
73,组合数学,https://www.xuetangx.com/course/THU08091000450/7753948
74,组合数学与算法设计,https://www.xuetangx.com/course/1219129KC0028920intl/4048105
75,清华风物,https://www.xuetangx.com/course/THU04011000360/7753291
76,内部控制与风险管理,https://www.xuetangx.com/course/ZUEL12021000599/7753336
77,高山滑雪入门,https://www.xuetangx.com/course/HIT04021000094/7754352
78,货币金融学,https://www.xuetangx.com/course/FDU02031000062/7754908
79,陈旭：在“两学一做”学习教育全校教职工党支部书记动员部署会暨专题培训班上的讲话,https://www.dangjian.tsinghua.edu.cn/info/1012/4289.htm
80,黄川：在清华大学“两学一做”学习教育全校教职工党支部书记动员部署会暨专题培训班上的报告,
