course_index,type_id,name,link
0,20,中国建筑史（上）,
1,20,外国工艺美术史,
2,13,心理学概论,
3,10,经济学原理,
4,10,公司金融,
5,1,创业102：你能为客户做什么？,
6,9,e时代的教与学——MOOC引发的混合式教学,
7,13,党的十九大精神概论,
8,9,e时代的大佬师——慕课教师的修炼心法,
9,18,大学物理近代物理,
10,7,计算机科学和Python编程导论,
11,3,自动控制理论,
12,17,大学国文（下）,
13,7,计算几何,
14,7,C++语言程序设计基础,
15,16,生活英语听说,
16,16,日语与日本文化,
17,7,数据结构（上）,
18,7,操作系统,
19,7,数据结构(下),
20,15,逻辑学概论,
21,15,线性代数,
22,7,程序设计基础,
23,7,汇编语言程序设计,
24,7,分布式存储与资源管理,
25,7,大数据系统基础,
26,7,网络技术与应用,
27,7,计算机科学101,
28,2,微纳加工技术,
29,2,数字电子技术基础,
30,7,C++语言程序设计进阶,
31,19,葡萄酒的世界：从葡萄到美酒,
32,18,量子力学（上）,
33,10,金融体系概览（微慕课）,
34,2,线性系统理论,
35,15,小波与科学(自主模式）,
36,2,电子信息科学与技术导引(1),
37,3,统计信号处理,
38,2,MEMS与微系统,
39,14,奇异的仿生学,
40,2,创新材料学,
41,7,数据结构-算法基础（微慕课）,
42,7,计算思维和数据科学导论,
43,3,理论力学,
44,10,经济学,
45,23,2014年清华大学研究生学位论文答辩（二）,
46,7,软件工程,
47,7,C++语言程序设计,
48,3,有限元分析及应用,
49,7,大数据科学与应用系列讲座,
50,17,《周易》《周礼》与故宫北京城（微慕课）,
51,7,流计算、内存计算与分布式机器学习平台（微慕课）,
52,7,高级大数据系统,
53,7,数据挖掘：理论与算法,
54,7,Petri网：模型、理论与应用,
55,7,Web开发技术,
56,9,心理正能量ACE（微慕课）,
57,1,中国房地产发展之路,
58,13,社会心理学,
59,10,胡鞍钢：党的十八大精神的学习辅导报告,
60,13,全面从严治党与党的建设科学化,
61,13,讲规矩 成方圆,
62,3,创客培养：趣味力学实验与制作,
63,2,智能车制作：电子技术,
64,3,材料学概论,
65,2,模拟电子技术应用,
66,2,电路原理,
67,7,高级数据库系统,
68,13,日常思考的科学,
69,17,西游记,
70,15,运筹学,
71,7,微软人工智能 _ 深度学习框架和工具,
72,15,概率论与数理统计,
73,15,组合数学,
74,15,组合数学与算法设计,
75,9,清华风物,
76,10,内部控制与风险管理,
77,19,高山滑雪入门,
78,10,货币金融学,
79,13,陈旭：在“两学一做”学习教育全校教职工党支部书记动员部署会暨专题培训班上的讲话,
80,13,黄川：在清华大学“两学一做”学习教育全校教职工党支部书记动员部署会暨专题培训班上的报告,
81,10,胡鞍钢：解读十八届三中全会,
82,13,张国祚：解读十八大报告理论热点,
83,13,《共产党宣言》导读,
84,20,适老居住空间与环境设计,
85,10,居住地产（微慕课）,
86,3,高等化工热力学（上）,
87,5,有机化学,
88,5,化工单元过程与操作,
89,3,宝玉石概论,
90,19,中医养生方法学,
91,9,摄影构图（微慕课）,
92,23,信息素养-学术研究的必修课,
93,9,教＆学微辞典,
94,19,人体的运动与损伤人体的运动功能(微慕课),
95,13,实现祖国完全统一的理论（微慕课）,
96,9,学会学：学习之道,
97,7,计算机操作系统,
98,7,基于Linux的C++,
99,3,导弹总体设计导论,
100,10,金融衍生品,
101,10,投资学,
102,7,巅峰对话：分布式计算,
103,17,大学国文（上）,
104,13,绿色建筑与可持续发展,
105,13,经典与思考——人文清华大师面对面,
106,11,清代建筑概说（微慕课）,
107,1,财务管理,
108,16,高职实用综合英语,
109,2,LabVIEW 基础课程,
110,3,测试与检测技术基础,
111,3,控制工程基础,
112,2,数字集成电路分析与设计,
113,21,西方哲学精神探源,
114,3,自动控制元件,
115,7,科学计算与MATLAB语言,
116,13,教育社会学,
117,14,现代生物学导论,
118,16,对外汉语,
119,3,电工技术,
120,3,数字信号分析理论与实践,
121,15,微积分B(1),
122,2,工程制图,
123,2,通信原理,
124,2,卡通说解数字电子技术,
125,15,数字电子技术,
126,20,歌唱启蒙与表演教你成为歌唱达人,
127,10,电子商务,
128,7,数据结构,
129,15,微积分B(2),
130,7,Linux系统管理,
131,7,VC++面向对象与可视化程序设计（上）：Windows编程基础,
132,7,Office办公软件应用,
133,10,宏观经济形势分析供给侧改革,
134,13,马克思专题讲座,
135,11,越王勾践剑与吴越地区的冶铸技术（微慕课）,
136,7,VC++面向对象与可视化程序设计（下）：MFC编程基础,
137,7,JAVA程序设计,
138,23,清华院系概览,
139,4,公共危机管理,
140,17,《资治通鉴》导读,
141,23,研究生学术与职业素养讲座,
142,23,2015年清华大学研究生学位论文答辩（二）,
143,23,高山滑雪,
144,7,微软--计算机视觉论文分享课,
145,23,2016年清华大学研究生学位论文答辩（一）,
146,13,基于R语言的社会统计分析,
147,13,法学高级入门,
148,7,面向对象程序设计（C++）,
149,18,光学,
150,11,弟子规,
151,1,青少年创客与全球名校申请,
152,16,英美音乐与文化,
153,10,生活中的市场营销学,
154,10,金融工程,
155,10,国际贸易学,
156,10,经济地理与企业兴衰,
157,10,互联网金融,
158,13,图说人际关系心理,
159,20,国际名酒知识与品鉴,
160,16,科学写作,
161,9,数字图片后期(微慕课),
162,3,水处理工程-生化技术,
163,6,环境生态学,
164,6,AP备考环境科学第一部分,
165,2,电工电子学（下）,
166,3,信号与系统分析,
167,7,微机原理与接口技术,
168,7,计算机网络,
169,7,大数据平台核心技术,
170,11,中国古代礼义文明（上）,
171,7,应用信息论基础,
172,16,生活英语读写,
173,3,工程应用数学基础,
174,7,人工智能,
175,7,大学计算机教程,
176,15,数学实验,
177,2,智能车制作：嵌入式系统,
178,7,计算机程序设计基础,
179,13,吴参谋消防大讲堂,
180,19,十面霾伏空气污染与肺疾患(微慕课),
181,16,日语——自游自在日本行,
182,17,古典文学的城市书写,
183,21,明朝心学的智慧发展史：王阳明带你打土匪,
184,17,国学入门,
185,15,高等数学,
186,3,大气污染控制工程,
187,13,美国政治概论,
188,22,职业探索与选择,
189,10,国际金融,
190,10,Financial Risk Management,
191,3,运营概论（微慕课）,
192,3,项目管理导论(微慕课),
193,11,大学应该怎么学？（微慕课）,
194,10,什么是经济学(微慕课),
195,20,花之道（微慕课）,
196,10,期货市场的运作机制(微慕课),
197,17,李清照词鉴赏(微慕课),
198,20,插花造型（微慕课）,
199,11,隋唐建筑概说（微慕课）,
200,3,工程伦理,
201,20,图案色调(微慕课),
202,20,美是旺盛的生命力（微慕课）,
203,3,水处理工程-物化技术,
204,9,2017第四届全国虚拟仪器大赛赛前培训,
205,21,古希腊爱情观探源（微慕课）,
206,18,光电仪器设计,
207,3,水力学,
208,2,模拟电子技术基础,
209,2,电路分析基础,
210,2,合肥学院_电路原理,
211,2,沈阳工业大学_电路原理,
212,2,攀枝花学院_电路原理,
213,2,新疆农业大学_电路分析基础,
214,13,思想道德修养和法律基础,
215,20,生活、艺术与时尚：中国服饰七千年,
